model,target,c,a,b,R2,RMSE,MAE,tau1,tau2,slope_1,slope_2,slope_3
A_shifted_exp,current_theoretical,0.10951161547874583,0.6336878888699667,0.0003460400000308232,0.9999540355620818,0.0029069360034833657,0.0012448540287140176,,,,,
A_shifted_exp,friction_torque,0.004497768550142827,0.02553876737880625,0.0003499994697540885,0.9999999997474652,2.799850739882009e-07,2.4084575022105917e-07,,,,,
A_shifted_exp,HI1,-0.0065498862336283385,0.42979166853701517,0.0003470260045656522,0.9999632437685984,0.0017716417752670552,0.001087213868673315,,,,,
B_three_stage_piecewise_linear,current,,,,0.9996104969107904,0.008474913546263368,0.007163545863350715,1320.0,2500.0,0.0002741661545484321,0.0004281334019879009,0.0006218124055110078
B_three_stage_piecewise_linear,HI1,,,,0.9996562018226816,0.005418289538711096,0.004610039955027615,1340.0,2500.0,0.00018777407240512991,0.0002922158153583661,0.0004232963739713244
