fraction,observed_day,baseline_RUL_days,baseline_stage,baseline_HI,true_RUL_days,baseline_abs_error_days,Delta_RUL_label,Delta_RUL_pred,RUL_final,final_abs_error_days,baseline_improvement_days,selected_variant
0.6,2100.0,1347.1336787785267,退化期,0.4547529180442673,1400.0,52.8663212214733,52.8663212214733,45.01813433277879,1392.1518131113055,7.848186888694499,45.0181343327788,hi_linear_shrink
0.7,2440.0,1013.7201088309184,退化期,0.5676993347263737,1060.0,46.279891169081566,46.279891169081566,46.52405673467987,1060.2441655655982,0.2441655655982231,46.03572560348334,hi_linear_shrink
0.8,2800.0,656.9909514051228,衰退期,0.6992419562627162,700.0,43.009048594877186,43.009048594877186,45.860564105956584,702.8515155110794,2.8515155110793557,40.15753308379783,hi_linear_shrink
0.9,3140.0,318.48725491247797,衰退期,0.8430328034265597,360.0,41.512745087522035,41.512745087522035,43.44891689548423,361.9361718079622,1.9361718079621824,39.57657327955985,hi_linear_shrink
