variant,seq_len,dann_weight,moment,aux_input,source_weighting,loocv_MAE,loocv_RMSE,improvement_vs_baseline_MAE,mean_abs_delta_pred
no_correction,0,0.0,False,False,False,45.91700151823852,46.12418701682482,0.0,0.0
mean,16,0.0,False,True,False,4.874806236051896,5.822500346775388,41.042195282186626,45.91700151823852
late_weighted,16,0.35,False,True,True,4.845099896516842,5.747786878991743,41.07190162172168,45.58375872316684
hi_linear_shrink,16,0.35,True,True,True,3.220009943333565,4.287585458132988,42.696991574904956,45.212918017224865
dann_residual_constrained,16,0.35,True,True,True,4.836951754946895,5.733032609595068,41.080049763291626,45.49203268209796
